iter	Accuracy	MultiClass
129	0.8824561404	0.3556227407
130	0.8824561404	0.3555303221
131	0.8824561404	0.3554190041
132	0.8824561404	0.3553103896
133	0.8824561404	0.3551600722
134	0.8824561404	0.3550567766
135	0.8824561404	0.3549197981
136	0.8824561404	0.3547837399
137	0.8824561404	0.3546806032
138	0.8824561404	0.3546602385
139	0.8824561404	0.3545757106
140	0.8824561404	0.3544258419
141	0.8824561404	0.3543533376
142	0.8824561404	0.3542253874
143	0.8824561404	0.3541604376
144	0.8824561404	0.3540724415
145	0.8824561404	0.3538671649
146	0.8824561404	0.3537979337
147	0.8824561404	0.3536144668
148	0.8824561404	0.3534449057
149	0.8824561404	0.3534204362
150	0.8824561404	0.3532390413
151	0.8824561404	0.3530950352
152	0.8824561404	0.3529935046
153	0.8824561404	0.3529178868
154	0.8824561404	0.3528023033
155	0.8824561404	0.3526927662
156	0.8824561404	0.3525570785
157	0.8824561404	0.3524585803
158	0.8824561404	0.3523837861
159	0.8824561404	0.3523136126
160	0.8824561404	0.3522947222
161	0.8824561404	0.35218373
162	0.8824561404	0.3520990193
163	0.8824561404	0.352032833
164	0.8824561404	0.3517762195
165	0.8824561404	0.3517168304
166	0.8824561404	0.3515461584
167	0.8824561404	0.3511395302
168	0.8824561404	0.3510266102
169	0.8824561404	0.3508426459
170	0.8824561404	0.3506820122
171	0.8824561404	0.3506214665
172	0.8824561404	0.3505647523
173	0.8824561404	0.3503791075
174	0.8824561404	0.3503134737
175	0.8824561404	0.3502435228
176	0.8824561404	0.3501641633
177	0.8824561404	0.3499912432
178	0.8824561404	0.3497953721
179	0.8824561404	0.3497692826
180	0.8824561404	0.3496758068
181	0.8824561404	0.3495692509
182	0.8824561404	0.3494033446
183	0.8824561404	0.348978165
184	0.8824561404	0.3485874255
185	0.8824561404	0.3484557667
186	0.8824561404	0.348364786
187	0.8824561404	0.3483519898
188	0.8824561404	0.3482916254
189	0.8824561404	0.348261899
190	0.8824561404	0.3481599363
191	0.8824561404	0.3480739014
192	0.8824561404	0.3480189618
193	0.8824561404	0.3476455094
194	0.8824561404	0.3475623955
195	0.8824561404	0.3474031156
196	0.8824561404	0.3472906869
197	0.8824561404	0.3472425859
198	0.8824561404	0.3471251358
199	0.8824561404	0.3470905901
200	0.8824561404	0.3469314428
201	0.8824561404	0.346830751
202	0.8824561404	0.3468124035
203	0.8824561404	0.3468043465
204	0.8824561404	0.3467347281
205	0.8824561404	0.3466466756
206	0.8824561404	0.3462640282
207	0.8824561404	0.346173689
208	0.8824561404	0.3461478838
209	0.8824561404	0.3460428392
210	0.8824561404	0.3459972627
211	0.8824561404	0.345857421
212	0.8824561404	0.3458154354
213	0.8824561404	0.3457239114
214	0.8824561404	0.3456144023
215	0.8824561404	0.3455089525
216	0.8824561404	0.345476121
217	0.8824561404	0.3454108715
218	0.8824561404	0.3454014554
219	0.8824561404	0.3453246176
220	0.8824561404	0.3452327043
221	0.8824561404	0.3451317425
222	0.8824561404	0.3450562008
223	0.8824561404	0.3449855764
224	0.8824561404	0.3449248554
225	0.8824561404	0.3448284699
226	0.8824561404	0.3447602149
227	0.8824561404	0.3446088944
228	0.8824561404	0.3445755769
229	0.8824561404	0.344408736
230	0.8824561404	0.3442730094
231	0.8824561404	0.3442459967
232	0.8824561404	0.3442178823
233	0.8824561404	0.3440781729
234	0.8824561404	0.3440257739
235	0.8824561404	0.3439705342
236	0.8824561404	0.3438792765
237	0.8824561404	0.3438161384
238	0.8824561404	0.3437285471
239	0.8824561404	0.3436031508
240	0.8824561404	0.3434925171
241	0.8824561404	0.3433604628
242	0.8824561404	0.3432573923
243	0.8824561404	0.3431252846
244	0.8824561404	0.3430117939
245	0.8824561404	0.3429405548
246	0.8824561404	0.3428150758
247	0.8824561404	0.3424664231
248	0.8824561404	0.3424222473
249	0.8824561404	0.3423046222
250	0.8824561404	0.3422736468
251	0.8824561404	0.3422390073
252	0.8824561404	0.3422105221
253	0.8824561404	0.3421548326
254	0.8824561404	0.3418205064
255	0.8824561404	0.341773143
256	0.8824561404	0.341477534
257	0.8824561404	0.3414474207
258	0.8824561404	0.3413210457
259	0.8824561404	0.3412405463
260	0.8824561404	0.3410544486
261	0.8824561404	0.340967561
262	0.8824561404	0.3409485129
263	0.8824561404	0.3408914894
264	0.8824561404	0.3408406646
265	0.8824561404	0.3408214875
266	0.8824561404	0.3406301256
267	0.8824561404	0.3405568484
268	0.8824561404	0.3404786603
269	0.8824561404	0.3404134511
270	0.8824561404	0.340281352
271	0.8824561404	0.3402163284
272	0.8824561404	0.3401226036
273	0.8824561404	0.3400692528
274	0.8824561404	0.3400439809
275	0.8824561404	0.339858888
276	0.8824561404	0.3398000598
277	0.8824561404	0.3397148558
278	0.8824561404	0.3396746402
279	0.8824561404	0.3396364439
280	0.8824561404	0.339550764
281	0.8824561404	0.339422487
282	0.8824561404	0.3393188564
283	0.8824561404	0.3392554661
284	0.8824561404	0.3391893381
285	0.8824561404	0.3391676186
286	0.8824561404	0.339106815
287	0.8824561404	0.3390266046
288	0.8824561404	0.3389796577
289	0.8824561404	0.3389172162
290	0.8824561404	0.3388366364
291	0.8824561404	0.3387892258
292	0.8824561404	0.3386464941
293	0.8824561404	0.338598457
294	0.8824561404	0.3385637867
295	0.8824561404	0.3385273339
296	0.8824561404	0.3384809115
297	0.8824561404	0.3383989163
298	0.8824561404	0.3383710124
299	0.8824561404	0.3383373732
